"Item.ID","category","Item.name","LO.short.name","LO..knowledge.component..description","Relevance","Guess.probability..chance.of.answering.correctly.despite.not.knowing.the.LO.","Learning.value..chance.of.learning.the.LO.from.this.item.","Module"
"2","Problem","Adapt 2","Data types","Types of Data","Strong","Low","Low","Module 1"
"3","Problem","Adapt 3","Data types","Types of Data","Strong","Moderate","Low","Pretest"
"4","Problem","Adapt 4","Data types","Types of Data","Strong","Low","Low","Final"
"7","Problem","Adapt 7","Data types","Types of Data","Strong","High","Low","Module 1"
"8","Problem","Adapt 8","Data types","Types of Data","Strong","Low","Low","Module 1"
"11","Problem","Adapt 11","Data types","Types of Data","Strong","High","Low","Module 1"
"12","Problem","Adapt 12","Data types","Types of Data","Strong","Low","Low","Module 1"
"16","Problem","Adapt 16","Data types","Types of Data","Strong","Low","Low","Pretest"
"17","Problem","Adapt 17","Histograms and Skewness","Types of Histograms and Skewness","Strong","Low","Moderate","Final"
"18","Problem","Adapt 18","Histograms and Skewness","Types of Histograms and Skewness","Strong","Low","Moderate","Module 1"
"23","Problem","Adapt 23","Descriptive Stats","Computing Mean, Median, Variance, and Standard Deviation, Outliers","Strong","Low","Moderate","Module 1"
"26","Problem","Adapt 26","Descriptive Stats","Computing Mean, Median, Variance, and Standard Deviation, Outliers","Strong","Low","Moderate","Pretest"
"27","Problem","Adapt 27","Descriptive Stats","Computing Mean, Median, Variance, and Standard Deviation, Outliers","Strong","Low","Moderate","Final"
"32","Problem","Adapt 32","Descriptive Stats","Computing Mean, Median, Variance, and Standard Deviation, Outliers","Strong","Low","Moderate","Module 1"
"36","Problem","Adapt 36","Histograms and Skewness","Types of Histograms and Skewness","Strong","Low","Moderate","Module 1"
"40","Problem","Adapt 40","CAGR","Geometric Mean and Compound Annual Growth Rate (CAGR)","Strong","Low","Moderate","Module 1"
"51","Problem","Adapt 51","CAGR","Geometric Mean and Compound Annual Growth Rate (CAGR)","Strong","Low ","Moderate","Pretest"
"52","Problem","Adapt 52","Boxplot","Boxplot Definition and for Comparing Multiple Populations","Strong","Low ","Moderate","Final"
"53","Problem","Adapt 53","Boxplot","Boxplot Definition and for Comparing Multiple Populations","Strong","Low ","Moderate","Module 1"
"57","Problem","Adapt 57","Histograms and Skewness","Types of Histograms and Skewness","Strong","Low ","Moderate","Module 1"
"61","Problem","Adapt 61","Charts","Understanding charts","Strong","Low ","Moderate","Module 1"
"62","Problem","Adapt 62","Charts","Understanding charts","Strong","Low ","Moderate","Final"
"63","Problem","Adapt 63","Charts","Understanding charts","Moderate","Low ","Moderate","Module 1"
"64","Problem","Adapt 64","Charts","Understanding charts","Moderate","Low ","Moderate","Pretest"
"65","Problem","Adapt 65","Charts","Understanding charts","Moderate","Low ","Moderate","Final"
"69","Problem","Adapt 69","Descriptive Stats","Computing Mean, Median, Variance, and Standard Deviation, Outliers","Strong","Low ","Moderate","Module 1"
"70","Problem","Adapt 70","Probability overview","Introduction to Probability","Strong","Moderate","Moderate","Module 2"
"71","Problem","Adapt 71","Probability overview","Introduction to Probability","Strong","Moderate","Moderate","Pretest"
"72","Problem","Adapt 72","Probability overview","Introduction to Probability","Strong","Low ","Moderate","Final"
"74","Problem","Adapt 74","Probability overview","Introduction to Probability","Strong","Low ","Moderate","Pretest"
"75","Problem","Adapt 75","Probability overview","Introduction to Probability","Strong","Low ","Moderate","Final"
"78","Problem","Adapt 78","Law of Complements","Law of Complements","Strong","Low ","Moderate","Module 2"
"83","Problem","Adapt 83","Law of Complements","Law of Complements","Strong","Low ","Moderate","Pretest"
"84","Problem","Adapt 84","Independent Events","Independent Events","Strong","Low ","Moderate","Final"
"87","Problem","Adapt 87","Mutually Exclusive Events","Mutually Exclusive Events and Finding Prob (A or B)","Strong","Low ","Moderate","Module 2"
"90","Problem","Adapt 90","Law of Complements","Law of Complements","Strong","Low ","Moderate","Pretest"
"91","Problem","Adapt 91","Independent Events","Independent Events","Strong","Low ","Moderate","Final"
"92","Problem","Adapt 92","Independent Events","Independent Events","Strong","Low ","Moderate","Module 2"
"110","Problem","Adapt 110","Conditional Probability","Conditional Probability","Strong","Low ","Moderate","Module 2"
"113","Problem","Adapt 113","Mutually Exclusive Events","Mutually Exclusive Events and Finding Prob (A or B)","Strong","Low ","Moderate","Module 2"
"120","Problem","Adapt 120","Bayes Theorem","Bayes Theorem","Strong","Low ","Moderate","Module 2"
"121","Problem","Adapt 121","Bayes Theorem","Bayes Theorem","Strong","Low ","Moderate","Final"
"122","Problem","Adapt 122","Bayes Theorem","Bayes Theorem","Strong","Low ","Moderate","Pretest"
"127","Problem","Adapt 127","Bayes Theorem","Bayes Theorem","Strong","Low ","Moderate","Module 2"
"136","Problem","Adapt 136","Conditional Probability","Conditional Probability","Strong","Low ","Moderate","Module 2"
"137","Problem","Adapt 137","Conditional Probability","Conditional Probability","Strong","Low ","Moderate","Pretest"
